,SKU,Store,Register,TRANNUM,SEQ,Saledate,Stype,Quantity,MIC,OrigiPrice,AMT,InterID
1612,387,9806,243,68100,0,2005/2/11,P,1,79,79,79,749500006
1613,387,9806,333,79600,0,2005/7/14,P,1,79,79,79,565700006
1614,387,9806,613,53700,936500134,2005/6/7,P,1,79,79,79,717100004
1615,387,9806,823,77700,191100910,2005/1/14,P,1,79,79,79,360700007
6956,1634,9806,43,90700,395009195,2005/8/18,P,1,60,60,60,920600013
6957,1634,9806,113,94200,559805802,2005/8/23,P,1,60,60,60,809800012
6958,1634,9806,180,2800,143709908,2005/6/8,R,1,60,60,60,931500008
6959,1634,9806,253,44100,143709908,2005/5/21,P,1,60,60,60,569900013
6960,1634,9806,283,66700,39709336,2005/2/15,P,1,60,60,60,121200009
6961,1634,9806,373,6500,91400039,2005/5/26,P,1,60,60,60,868500009
6962,1634,9806,373,68000,702608870,2005/4/12,P,1,60,60,60,297700007
6963,1634,9806,473,51500,287700938,2004/9/15,P,1,60,60,60,595700015
6964,1634,9806,673,81800,0,2005/1/5,P,1,60,60,60,225500010
6965,1634,9806,773,12500,0,2005/6/14,P,1,60,60,60,676800008
6966,1634,9806,943,87000,0,2005/3/21,P,1,60,60,60,384800007
7957,2186,9806,23,56100,293108895,2004/10/21,P,1,23.75,23.75,23.75,957200011
7958,2186,9806,143,38400,86608872,2005/5/17,P,1,23.75,23.75,23.75,773500008
7959,2186,9806,323,14400,509609024,2004/12/18,P,1,23.75,23.75,23.75,15600044
7960,2186,9806,323,14400,509609024,2004/12/18,P,1,23.75,23.75,23.75,15700044
7961,2186,9806,323,14400,509609024,2004/12/18,P,1,23.75,23.75,23.75,15800044
7962,2186,9806,323,14400,509609024,2004/12/18,P,1,23.75,23.75,23.75,15900044
7963,2186,9806,323,53200,0,2005/5/24,P,1,23.75,23.75,23.75,681300009
7964,2186,9806,683,32600,613904300,2004/12/1,P,1,23.75,23.75,23.75,738000020
7965,2186,9806,723,32200,193602051,2005/4/29,P,1,23.75,23.75,23.75,598300014
7966,2186,9806,793,57000,0,2005/5/2,P,1,23.75,23.75,23.75,934900008
10608,2659,9806,130,400,189809847,2005/5/14,R,1,39,39,39,332200017
10609,2659,9806,180,1100,544700527,2004/12/7,R,1,39,39,39,201100022
10610,2659,9806,180,1400,589309890,2005/6/2,R,1,39,39,39,976200011
10611,2659,9806,233,70400,406009324,2005/2/11,P,1,39,39,39,583000017
10612,2659,9806,233,70400,406009324,2005/2/11,P,1,39,39,39,583100017
10613,2659,9806,493,75400,0,2004/11/20,P,1,39,39,39,395000024
10614,2659,9806,523,40200,0,2005/4/20,P,1,39,39,39,449000010
10615,2659,9806,530,1200,406009324,2005/3/10,R,1,39,39,39,182400012
10616,2659,9806,530,1200,406009324,2005/3/10,R,1,39,39,39,182500012
10617,2659,9806,853,63600,0,2005/5/4,P,1,39,39,39,265400011
10618,2659,9806,943,61700,239205406,2004/10/16,P,1,39,39,39,591100027
11007,2695,9806,13,17300,0,2004/8/11,P,1,34,34,34,469300037
11008,2695,9806,13,81000,404500671,2005/1/28,P,1,34,34,34,550200022
